date,Amplitude
0.0,152.197876
0.0574549,152.10849
0.1157257,152.1397
0.1728853,152.198563
0.2297729,152.322433
0.2872922,152.4035
0.3443733,152.445938
0.40161,152.461975
0.4590422,152.500336
0.5178283,152.708023
0.5759394,152.498581
0.6333325,152.309708
0.6904961,152.142273
0.7477537,151.921234
0.8054049,151.670517
0.8629304,151.467667
0.9220026,151.169479
0.9795835,151.0328
1.03731489,151.016357
1.094705,150.991714
1.15268433,150.818985
1.21045,150.756882
1.26892185,150.9054
1.32689846,150.735855
1.3841604,150.53093
1.44335365,150.652451
1.5003072,150.595276
1.5582881,150.4667
1.61699939,150.477341
1.67568755,150.4221
1.73371983,150.425873
1.79098582,150.417755
1.8489145,150.432327
1.9070729,150.4066
1.964416,150.373734
2.02151752,150.443817
2.07896876,150.59874
2.13584471,150.2823
2.19535375,150.317856
2.254516,150.394669
2.3119638,150.293732
2.36942649,150.269058
2.427415,150.220352
2.48623538,150.237
2.54369831,150.271744
2.6002388,150.295334
2.657686,150.291763
2.71559525,150.2876
2.773378,150.40242
2.831101,150.511368
2.88732338,150.267242
2.94561958,150.213135
3.00271249,150.273712
3.06148434,150.1639
3.11902165,150.130966
3.17799878,150.114258
3.2365346,150.013962
3.29404235,150.006332
3.35199833,150.01683
3.40976071,150.0323
3.46708,150.033569
3.52524948,150.047348
3.58275843,150.1462
3.64042163,150.202637
3.69815755,149.89296
3.76294112,150.016846
3.81971574,149.971863
3.87725329,149.878174
3.93476963,149.900909
3.99194813,149.8914
4.049086,149.919037
4.107126,149.946609
4.16469574,150.014984
4.2225585,150.040573
4.279569,150.06311
4.337474,150.166473
4.39410067,150.245911
4.45103168,150.142075
4.50764465,150.338974
4.56496668,150.416916
4.621757,150.425125
4.678388,150.492355
4.7359376,150.543869
4.79381561,150.620483
4.85101652,150.732437
4.90869045,150.801331
4.966825,150.898788
5.02397537,151.005661
5.081709,151.171738
5.138929,151.388931
5.1990695,151.3712
5.25661469,151.446289
5.31309843,151.676025
5.371054,151.749054
5.428567,151.792587
5.485796,151.891556
5.54321337,151.962921
5.599683,152.052414
5.65807962,152.13974
5.715718,152.221268
5.77348328,152.178528
5.83143425,152.0813
5.88878345,152.009491
5.94594431,151.735611
6.00379372,151.5295
6.06102657,151.529526
6.118168,151.273209
6.176308,150.929688
6.23405552,150.8336
6.29224253,150.784134
6.34954453,150.704468
6.408322,150.6337
6.465604,150.60466
6.523698,150.572449
6.581647,150.4958
6.638791,150.556412
6.69564867,150.7068
6.75304651,150.4342
6.81062746,150.3609
6.868532,150.468719
6.92578363,150.370956
6.98929071,150.3066
7.046536,150.287323
7.103397,150.249741
7.160692,150.260468
7.218002,150.277451
7.27506638,150.299713
7.335335,150.253662
7.39268446,150.3037
7.450124,150.461624
7.50689125,150.3007
7.565329,150.1317
7.623026,150.272
7.679467,150.1984
7.736547,150.110657
7.794921,150.110718
7.852028,149.965912
7.90879,150.005554
7.96724558,150.003815
8.029557,150.045654
8.087525,150.066467
8.148565,150.065536
8.205808,150.168137
8.26271248,150.228134
8.319711,149.90036
8.377038,150.0043
8.434235,150.02948
8.492326,149.894623
8.550096,149.899048
8.607648,149.843811
8.665169,149.881134
8.724267,149.878616
8.781482,149.925125
8.839044,149.927719
8.896308,149.946259
8.953391,149.9953
9.011018,150.15094
9.068714,149.947952
9.125939,149.93399
9.184725,150.046844
9.2422905,150.03421
9.299513,150.000641
9.35662651,150.01149
9.414691,150.100082
9.471638,150.199631
