date,Amplitude
0.0,98.43169
0.056647,99.09957
0.1172333,99.57363
0.1745867,100.0701
0.232242,100.359871
0.2884668,100.535606
0.3443916,100.564247
0.4012719,100.5508
0.4594637,100.217743
0.516496,99.73404
0.5749399,99.2082062
0.6318982,98.66754
0.6883299,98.21399
0.7458264,97.59235
0.8043142,97.1082
0.8616847,96.5367
0.9186098,96.03411
0.9751357,95.40033
1.03178334,94.89659
1.09005356,94.33258
1.14728379,93.7524
1.20416665,93.30724
1.261248,92.8665161
1.31785,92.48598
1.37606883,92.0273
1.43310022,91.71587
1.49284768,91.45237
1.55074275,91.1852
1.60863864,91.0227051
1.66618717,90.87254
1.72338831,90.78046
1.7809546,90.77873
1.83749175,90.49769
1.89492035,90.53984
1.95183873,90.5225
2.009088,90.32421
2.06610131,90.1747
2.1224134,89.89298
2.17906737,89.72574
2.23641372,89.546
2.29336429,89.4962
2.35047579,89.46546
2.40717,89.42104
2.46445,89.38892
2.52142644,89.42815
2.57807231,89.20686
2.63457346,89.1945
2.69231176,89.2364
2.7488544,89.19641
2.80770063,89.2041855
2.86547661,89.18149
2.92410159,89.0660553
2.9836266,88.9426651
3.03998327,88.91872
3.097238,88.90209
3.15488124,88.95257
3.21415615,88.9578247
3.27138948,89.17759
3.32856154,89.39173
3.38724542,89.6631
3.443123,90.00497
3.50079632,90.35268
3.558068,90.6436
3.61956072,90.99686
3.67646861,91.30885
3.73322916,91.855545
3.78986025,92.16055
3.84725571,92.5451355
3.90340948,93.01486
3.96001,93.3392639
4.01652336,93.63538
4.073602,94.05917
4.13098574,94.32268
4.187519,94.73925
4.244898,95.07789
4.302583,95.37027
4.3599,95.88689
4.416369,96.20654
4.473426,96.53725
4.531415,96.84918
4.58695936,97.333725
4.644266,97.8185654
4.70058537,98.18405
4.75688028,98.52618
4.8144536,98.95733
4.87151051,99.26208
4.92751074,99.55245
4.984393,99.87658
5.042462,100.230118
5.09857941,100.441
5.155768,100.646538
5.21271849,100.964584
5.268897,101.036179
5.32718372,101.083321
5.38303232,100.850792
5.439135,100.4652
5.49571466,100.026863
5.551919,99.6169052
5.60922861,99.15573
5.66644573,98.52174
5.72303867,98.0052
5.77845526,97.43247
5.834165,96.8773
5.891249,96.3346558
5.94805956,95.83556
6.007866,95.2596741
6.064549,94.71954
6.12294245,94.2461
6.178512,93.69841
6.238349,93.31623
6.294362,92.8336945
6.35099268,92.51998
6.407968,92.42835
6.464949,92.1077347
6.522018,91.7987
6.579136,91.43211
6.63755751,91.20319
6.69447041,90.96904
6.751034,90.76968
6.8080287,90.6073456
6.867778,90.515686
6.926795,90.43481
6.98321438,90.31717
7.039984,90.26468
7.09661,90.21265
7.15322161,90.24482
7.21068335,90.12813
7.26714563,90.11938
7.323264,90.1289749
