date,Amplitude,Phase Mod
0.8806476000000001,113.962456,0.0
0.9370098,113.777374,0.006428281956991095
0.9933704,113.737793,0.012856381429069771
1.049275,113.58688400000001,0.019232472701106788
1.1052313999999999,113.406158,0.025614471922183614
1.16197681,113.24848200000001,0.032086460156231685
1.21857166,113.117653,0.03854127656002036
1.27352941,112.909981,0.04480937668247526
1.33051968,112.78388999999999,0.05130929195130883
1.3874532,112.70343000000001,0.05780273470840475
1.44439,112.703552,0.06429655155957116
1.50072038,112.50241100000001,0.07072120434786637
1.55816925,112.32263200000001,0.07727342435472427
1.61492169,112.1602,0.08374621438185632
1.67086732,112.10144,0.09012698525136636
1.73464668,111.85731499999999,0.09740121707901754
1.79104185,111.44805900000001,0.10383325936573534
1.84794629,110.86970500000001,0.11032338545954792
1.9048785,110.7975,0.11681667880712178
1.96312726,110.139748,0.12346012872435545
2.02426648,109.94341299999999,0.1304332444790724
2.082321,109.86251100000001,0.13705454072793738
2.13932824,109.721947,0.14355639147737342
2.19490671,109.251938,0.14989528662160434
2.2509419999999998,109.23348200000001,0.15628628348939447
2.30816412,109.168053,0.1628126419625694
2.36548519,109.113083,0.16935028598704724
2.42269635,109.011848,0.17587539443857206
2.47968221,108.92919199999999,0.18237480673336576
2.53630471,108.50044299999999,0.1888327767045473
2.59263086,108.525406,0.19525694704835528
2.649435,108.427467,0.2017356336192201
2.70723462,108.14922299999999,0.20832785774047408
2.76567769,108.116592,0.21499346930979127
2.8216759999999996,108.11174,0.22138024849504293
2.87783718,108.008278,0.2277856035038491
2.93370724,107.96255500000001,0.23415775538283906
2.99339,107.93496699999999,0.2409647574028353
3.049839,107.51266499999998,0.24740293916632555
3.10612345,107.51469399999999,0.2538223534971034
3.16343451,107.53173100000001,0.26035885585034785
3.22091222,107.53930700000001,0.2669143651477523
3.2781089999999997,107.51030700000001,0.2734378335161266
3.334343,107.485207,0.2798514938695095
3.39271188,107.4501,0.2865086438415436
3.44875383,107.44294,0.2929004003027817
3.50629187,107.42752800000001,0.29946279042191537
3.56314588,107.420654,0.3059471648193944
3.61947179,107.41896100000001,0.3123713077904655
3.675187,107.40071100000002,0.3187257985515247
3.73268366,107.38443000000001,0.3252834691546107
3.78892732,107.35025800000001,0.33169823126065234
3.84575272,107.4238,0.33817934259979104
3.90141344,107.431343,0.3445276186090514
3.95770168,107.167,0.3509474652009656
4.013564,107.05896000000001,0.3573187343091917
4.07019567,107.09335300000001,0.3637777501470277
4.126119,107.07373799999999,0.3701559776330707
4.18338776,107.08220700000001,0.3766876555414429
4.23935843,107.074921,0.3830712822998325
4.29553127,107.04869099999999,0.38947796716743777
4.3526,107.01424399999999,0.3959868310401645
4.40911961,107.06498,0.4024330660909464
4.467064,107.0809,0.4090418016751829
4.52374458,107.10938300000001,0.4155063958486855
4.58068943,107.13348400000001,0.4220011308270675
4.637327,107.107918,0.428460819578018
4.69414043,107.09069099999999,0.4349405657019056
4.75072241,107.077423,0.4413939142426799
4.80702353,107.079765,0.4478152298381392
4.863771,107.114754,0.4542874530215119
4.9216814000000015,107.095253,0.4608923119418902
4.978354,107.108391,0.46735599597189204
5.037054,107.218025,0.4740509111965529
5.09383726,107.163322,0.4805272163393105
5.15062952,106.951981,0.4870045479597005
5.20734167,106.90111499999999,0.4934727427886315
5.26457167,106.896446,0.5
5.32095957,106.461349,0.5126860209686522
5.3768519999999995,106.439392,0.5252605722282117
5.43368053,106.42981,0.5380457251279948
5.49019,106.42392,0.5507590966376168
5.54710436,106.459648,0.5635635593747892
5.604404,106.217087,0.5764547015264958
5.66115,106.40508999999999,0.5892212870153531
5.71683645,106.5837,0.6017494973649102
5.77385235,106.828682,0.6145768043393955
5.831107,107.05400800000001,0.627457824743646
5.88814926,107.261711,0.6402910621307325
5.94496727,107.496445,0.6530738482649402
6.0010129999999995,107.724258,0.6656828886084076
6.06293631,107.977623,0.6796142534776146
6.118865,108.223824,0.6921969624291671
6.175478,108.444,0.7049336258817569
6.23286,108.51603700000001,0.7178432971981774
6.289368,109.01666999999999,0.7305563379905564
6.34665728,109.32808700000001,0.7434451493731222
6.40284824,109.922554,0.7560868632303273
6.46046448,110.09749599999999,0.7690492333270127
6.52628565,110.33535800000001,0.7838575298374559
6.5832190000000015,110.508789,0.7966662649014611
6.64030027,111.07570600000001,0.8095082786692602
6.69625759,111.3225,0.8220974287328302
6.75099754,111.922707,0.8344126976739145
6.810434,112.10459099999999,0.8477845767093537
6.8673779999999995,112.30455,0.8605957077860372
6.9235679999999995,112.81176799999999,0.8732372056646346
6.979473,113.013718,0.8858145848940879
7.03609133,113.16473400000001,0.8985524474779059
7.09273052,113.32115900000001,0.9112950030968856
7.14871168,113.83474,0.923889516629212
7.2055645,113.83951599999999,0.936680134237724
7.26214361,113.656723,0.9494091731955088
7.31794357,113.643166,0.9619629207656424
7.374316,113.67765,0.9746454613290236
7.430503999999999,113.5935,0.9872865092521881
7.487014,113.469223,0.0
7.5436883,113.41400900000001,0.006580921378923854
7.60108757,113.29086299999999,0.013246025016333096
7.65710735,113.17894,0.019750944668532
7.71327829,113.09303999999999,0.02627341675764905
7.77094841,113.056671,0.03296997102709942
7.82728148,112.93249499999999,0.03951126937050065
7.88637638,112.794716,0.04637326662137742
7.941905,112.705078,0.052821153626601
7.99735737,112.58310700000001,0.0592601866141278
8.054133,112.44551799999999,0.0658528742568314
8.110501,112.389145,0.07239822861122458
8.167094,112.307053,0.07896970957521443
8.223859,111.980507,0.08556116288076199
8.279332,111.83501399999999,0.09200259138809352
