date,Amplitude
0.0,160.25766000000002
0.050444499999999996,160.604462
0.10009789999999999,161.01713600000002
0.1502071,161.001129
0.2001431,161.246185
0.2529089,161.9117
0.3030176,162.719833
0.3541522,163.156021
0.403979,163.390228
0.4529525,163.5122
0.5029287,163.914612
0.5528291999999999,164.606247
0.6027093000000001,165.076553
0.6527086,165.34442099999998
0.7027109,165.547958
0.7551094,165.490265
0.804584,164.87088
0.8545752000000001,164.267273
0.9045681000000001,164.105682
0.9547455,163.815811
1.00463188,163.367569
1.0535459999999999,163.0278
1.10305214,162.634918
1.15307355,161.957031
1.20382035,161.375916
1.2538559999999999,161.1114
1.30402827,160.668549
1.35294187,160.575638
1.4028399,160.118057
1.45211983,160.07203700000002
1.50197244,159.664627
1.55205774,159.31987
1.60070884,159.26376299999998
1.6488450000000001,159.429932
1.6978509999999998,159.39163200000002
1.74776971,159.3752
1.797895,159.311569
1.84681785,159.21456899999998
1.89624071,158.953232
1.94576,158.776978
1.99580491,158.527679
2.04605269,158.37695300000001
2.09610581,158.26234399999998
2.14817643,158.16374199999998
2.199856,157.982986
2.24874473,157.915634
2.29856157,158.274338
2.34820318,158.258942
2.39804864,158.06768799999998
2.44788575,157.795
2.497399,157.643509
2.548115,157.450775
2.598464,157.3185
2.64786339,157.332138
2.697828,157.218231
2.74659252,157.19252
2.796123,157.264252
2.84630656,157.375931
2.89598227,157.511719
2.94577885,157.7843
2.99605227,158.131653
3.04600239,158.082382
3.09609056,158.06955
3.14606452,158.292572
3.19585729,158.25564599999998
3.24632144,158.074356
3.29623914,158.269653
3.34603047,158.303635
3.395947,158.287857
3.4450295,158.37158200000002
3.4948660000000005,158.3845
3.546301,158.55406200000002
3.59598613,158.390518
3.64508533,158.25415
3.69498324,158.253525
3.74467087,158.291351
3.79467463,158.318222
3.84448433,158.34428400000002
3.89419341,158.261475
3.94390678,158.209442
3.99304867,158.337021
4.042015,158.34298700000002
4.092043,158.21452299999999
4.1420900000000005,158.041061
4.191726999999999,158.201157
4.2420860000000005,158.221954
4.29195261,158.099182
4.342405,158.06672700000001
4.392402,158.035873
4.44188166,157.933014
4.49211836,157.84321599999998
4.54136562,157.82338000000001
4.590644,157.74205
4.639895,157.690659
4.69005442,157.722992
4.73991346,157.6578
4.7888779999999995,157.585846
4.83996534,157.5941
4.889979,157.535217
4.940205000000001,157.370468
4.99002266,157.207718
5.040069,157.25914
5.08996153,157.35105900000002
5.138932,157.647675
5.18757343,157.858932
5.23682,158.22876000000002
5.28645372,158.378647
5.33508253,158.613449
5.3838706,159.028534
5.43393469,159.359222
5.4841489999999995,159.583786
5.5341053,159.928879
5.58363152,160.314178
5.63388824,160.80865500000002
5.68362665,161.312759
5.73285627,161.72306799999998
5.7825017,161.983887
5.832138,162.256424
5.88193941,162.418182
5.932236,162.781677
5.98081,163.1029
6.03104258,163.399048
6.08113146,163.713074
6.130404,164.148987
6.17929029,164.281815
6.228705000000001,164.564209
6.27825737,164.99057
6.327817,165.291992
6.377895,165.59848
6.428063,165.955429
6.478182,166.3248
6.52812338,166.58543400000002
6.57796764,166.86883500000002
6.6279645,167.184433
6.678088000000001,167.596054
6.72808027,167.76535
6.778065,167.700058
6.8331027,167.964951
6.88479376,168.257858
6.934056,168.3461
6.9830966,168.418777
7.032086,168.612732
7.0821476,168.839981
7.13208,168.686768
7.1821470000000005,168.82273899999998
7.23197365,169.009918
7.280607000000001,168.691269
7.333081,168.1347
7.38227749,167.7285
7.43121338,167.510208
7.48017359,167.22018400000002
7.52990866,166.712982
7.57948637,166.2966
7.62816238,165.962021
7.67817259,165.737778
7.72807074,165.4064
7.777054,165.0306
7.825881,164.70668
7.876007,164.519928
7.9261479999999995,164.19696000000002
7.976032000000001,163.987671
8.025435,163.799545
8.075097,163.545547
8.128535000000001,163.265121
8.178002000000001,163.120758
8.226865,162.9329
8.27691,162.59298700000002
8.326103999999999,162.307678
8.376176,162.049973
8.426147,161.881943
8.47592449,161.88768000000002
8.526116,163.0023
8.576089,164.50221299999998
8.626151,164.746277
8.676149,164.092728
8.725964,163.209122
8.776167999999998,162.322464
8.82605,162.1495
8.87608,161.818817
8.925512,161.51908899999998
8.976248,161.228073
9.025382,161.16014099999998
9.074736999999999,160.93383799999998
9.123961999999999,160.85025
9.172516,160.820251
9.221941000000001,160.665329
9.270946,160.614258
9.319946,160.664642
9.370115,160.680069
9.418863,160.730042
9.470172999999999,160.775177
9.520508999999999,160.776382
9.568825,160.623123
9.618039999999999,160.503952
9.668088000000001,160.401657
9.718197,160.3424
9.76884651,160.192215
9.818092,159.90434299999998
9.867914,160.057678
9.918886,160.2117
9.968249,160.25311299999998
10.0180874,160.418716
10.0669489,160.970688
10.117234199999999,161.21121200000002
10.1661043,161.373215
10.2159729,161.5379
10.2660732,161.899979
10.315803500000001,162.380844
10.366044,162.82603500000002
10.4147921,163.390671
10.4639587,164.270111
10.513663300000001,165.445786
10.5638523,167.101761
10.6140308,169.81991599999998
10.6638145,172.32048
10.7140331,173.239578
10.764038099999999,172.673874
10.8138266,170.335175
10.8665733,168.430832
10.9153881,167.37475600000002
10.964777900000001,166.466492
11.015042300000001,165.582336
11.064847,164.830383
11.114412300000001,164.3999
11.1642485,164.139832
11.2140331,163.617233
11.2629528,163.420761
11.311245,162.93911699999998
11.3602715,162.3047
11.409835800000002,161.6567
11.460014300000001,161.3018
11.508776699999999,160.92373700000002
11.5579882,160.7176
11.608158099999999,160.940628
11.658042,161.37468
11.708062199999999,161.5633
11.757988000000001,161.540482
11.80804,161.668259
