,date,Amplitude
0,0.0,101.628151
1,0.0485982,101.097565
2,0.0972208,100.447273
3,0.1460068,99.98432
4,0.195611,100.017555
5,0.2447544,100.238831
6,0.2960969,100.251274
7,0.3447737,99.7362
8,0.3932748,99.56853
9,0.4420236,99.49576
10,0.4908704,99.3322
11,0.5411823,99.01756
12,0.5897622,98.6263351
13,0.6387149,98.28572
14,0.6877911,97.67312
15,0.7358922,97.47804
16,0.7850952,97.29909
17,0.8337869,97.33534
18,0.8820382,97.6241455
19,0.9308887,97.96498
20,0.9799942,98.16231
21,1.028984,98.35355
22,1.07783461,98.77562
23,1.12695611,99.4098
24,1.17581534,99.7876
25,1.22408879,100.30777
26,1.27404666,100.827866
27,1.32287109,101.80616
28,1.371679,102.463005
29,1.41986835,103.45739
30,1.46897852,104.299324
31,1.51822734,104.950333
32,1.567367,105.884483
33,1.61695528,106.584412
34,1.66589534,107.202087
35,1.71479642,107.972664
36,1.76387072,108.137566
37,1.81365359,108.644974
38,1.86300027,109.105263
39,1.91206717,108.937851
40,1.96075439,108.491333
41,2.01090145,108.0645
42,2.05977631,107.082237
43,2.109,106.0343
44,2.158048,105.217377
45,2.20679355,104.061806
46,2.25643945,102.631531
47,2.30540252,101.425873
48,2.35383439,100.628883
49,2.4036715,99.97722
50,2.45275021,99.2871552
51,2.50325274,98.62207
52,2.551914,98.16748
53,2.60104942,97.8560944
54,2.65081716,97.55097
55,2.70046139,97.25272
56,2.74940181,97.2015839
57,2.798766,97.3394241
58,2.84887552,97.3262558
59,2.90002155,97.42261
60,2.94875145,97.4119949
61,2.99779344,97.3314362
62,3.04747319,97.26603
63,3.09584951,97.25688
64,3.14481688,97.1887
65,3.19395232,96.94368
66,3.244553,96.71745
67,3.292798,96.8903046
68,3.34169555,96.77043
69,3.39100552,96.67055
70,3.43980551,96.8828
71,3.48874378,96.8997345
72,3.53767443,96.7249
73,3.58671761,96.3464355
74,3.634762,96.02657
75,3.68381119,95.85715
76,3.73304749,95.87211
77,3.783086,95.7063141
78,3.831886,95.97085
79,3.88158679,96.67483
80,3.931767,97.3562
81,3.98126459,98.07188
82,4.0299716,98.72179
83,4.079292,99.21823
84,4.12800264,100.087563
85,4.175865,101.045074
86,4.223901,101.353073
87,4.27187729,101.853539
88,4.32092047,102.658951
89,4.37013769,103.391441
90,4.419739,104.327187
91,4.46873426,105.214012
92,4.51717949,105.720566
93,4.566904,106.450844
94,4.61579132,107.152931
95,4.664767,107.895996
96,4.71284342,108.251373
97,4.76177454,108.894592
98,4.810579,109.285538
99,4.85990047,109.260666
100,4.908662,109.211021
101,4.95723152,108.337044
102,5.00690556,107.158279
103,5.05596972,106.043663
104,5.10396242,105.291351
105,5.152812,104.62693
106,5.201979,103.510956
107,5.25100231,102.375076
108,5.299775,101.34182
109,5.349423,100.36573
110,5.39788,99.7629547
111,5.44687033,99.5245361
112,5.49885,99.03318
113,5.54828024,98.06447
114,5.59804773,97.6744156
115,5.646489,97.3277359
116,5.695461,96.914566
117,5.74351072,96.56018
118,5.792127,96.05025
119,5.841628,95.79803
120,5.8907876,95.75055
121,5.93891954,95.79067
122,5.987588,95.3572845
123,6.036771,95.07658
124,6.0854,95.10171
125,6.133814,95.20766
126,6.182941,95.23079
127,6.23133,95.19428
128,6.28005,95.2443161
129,6.328504,95.38485
130,6.376669,94.981
131,6.42506933,94.79989
132,6.47302961,94.93709
133,6.52206659,94.93291
134,6.570907,94.58197
135,6.620339,94.65202
136,6.668351,94.61442
137,6.717962,94.44914
138,6.7660327,94.59677
139,6.81600571,94.5213242
140,6.86392832,94.12807
141,6.91183233,93.7004547
142,6.95995,93.49322
143,7.00945139,93.24081
144,7.058935,92.76899
145,7.10873365,92.85982
146,7.157417,93.17949
147,7.20599174,93.73392
148,7.254931,93.959816
149,7.30299044,94.28756
150,7.35197544,94.83796
151,7.400741,95.46925
152,7.44989634,95.8941
153,7.49918365,96.39764
154,7.548891,96.62051
155,7.5976243,97.1957855
156,7.646606,98.098526
157,7.694767,98.99083
158,7.745024,99.39806
159,7.79399729,100.36702
160,7.842586,101.509964
161,7.89114952,102.074295
162,7.94070768,102.954491
163,7.98980045,103.84095
164,8.038645,104.728333
165,8.08929348,105.638565
166,8.138862,106.474678
167,8.187304,106.644104
168,8.23688,107.159538
169,8.285953,107.571152
170,8.334493,107.341812
171,8.383173,106.357742
172,8.431729,105.044464
173,8.480629,103.644325
174,8.529424,102.664726
175,8.57799149,101.559494
176,8.627372,100.601532
177,8.677567,99.77795
178,8.725863,98.8591843
179,8.774997,98.10236
180,8.823887,97.533226
181,8.872969,96.8059845
182,8.921853,96.33858
183,8.969955,95.90204
184,9.018847,95.5518646
185,9.067543,95.3723755
186,9.115457,94.99238
187,9.164846,94.88444
188,9.212836,94.7018
189,9.261597,95.2008362
190,9.310817,95.61158
191,9.360722,95.65105
192,9.40874,95.42452
193,9.456701,95.16407
194,9.506069,94.95546
195,9.553946,94.97767
196,9.603832,94.76366
197,9.652646,94.86459
198,9.701784,94.9400558
199,9.750734,94.702774
200,9.799452,94.3441849
201,9.8487215,94.9893951
202,9.898651,95.69852
203,9.946969,95.80262
204,9.996065,95.62045
205,10.0448227,95.5221558
206,10.0935564,95.32403
207,10.1418734,95.60992
208,10.191102,95.76113
209,10.2394619,95.21704
210,10.2880459,94.62726
211,10.3368139,94.18677
212,10.3847809,94.07128
213,10.4336023,93.9979858
214,10.4820185,94.13135
215,10.5302877,94.29801
216,10.5790091,94.54787
217,10.6277237,95.0236
218,10.6788931,95.6748352
219,10.7279692,96.27985
220,10.7777128,96.96842
221,10.8264351,97.64292
222,10.8749952,98.33859
223,10.923954,99.18081
224,10.9722805,99.44947
225,11.0209579,100.231949
226,11.0699921,101.136345
227,11.1186771,101.657707
228,11.1667109,102.3175
229,11.215723,103.24234
230,11.2639647,103.936569
231,11.3118811,104.38707
232,11.3607464,105.346283
233,11.4107285,105.8882
234,11.4589968,105.695404
235,11.5076017,105.671188
236,11.5569124,105.5444
237,11.6060228,105.153061
238,11.6559191,103.99102
239,11.7059107,102.793083
240,11.7555847,102.122177
241,11.8037605,101.317818
242,11.8521032,100.508148
243,11.90089,99.41478
244,11.9494982,98.9472046
245,11.9977131,98.56738
246,12.0456133,97.1339645
247,12.0957584,96.87245
248,12.1445456,96.7377548
249,12.1931715,96.2189
250,12.2417641,96.10981
251,12.2908859,96.2124
252,12.3388882,96.09714
253,12.3888931,96.14626
254,12.4388227,95.98584
255,12.4869137,95.8455
256,12.5367308,95.32715
257,12.584753,94.93779
258,12.6332951,95.0597153
259,12.6818037,95.43161
260,12.7311049,95.10508
261,12.780262,94.5066
262,12.829133,94.37523
263,12.8786449,94.50881
264,12.928484,94.2945557
265,12.977438,93.93271
266,13.0268145,93.8377
267,13.0757084,94.39574
268,13.1249151,94.86746
269,13.1740475,94.8295746
270,13.223918,94.7053146
271,13.2748995,94.88774
272,13.3238773,95.10871
273,13.3729477,95.39392
274,13.4214582,95.57518
275,13.46975,95.14335
276,13.5187855,94.42378
277,13.5673466,94.0883942
278,13.6158485,94.116745
279,13.6637049,94.32213
280,13.712163,94.33043
281,13.7608433,94.59996
282,13.809411,94.9483261
283,13.8590651,95.4729
284,13.9088364,96.2577057
285,13.9570627,96.91142
286,14.0059681,97.16888
287,14.055,97.85057
288,14.1047287,99.04085
289,14.153738,99.59887
290,14.2027884,100.256973
291,14.2518482,100.900154
292,14.2999859,101.607666
293,14.3487377,102.737259
294,14.398818,103.484619
295,14.4487219,104.361282
296,14.4975,104.533257
297,14.54591,105.276031
298,14.5957775,106.2577
299,14.6447535,107.067169
300,14.6928482,107.262016
301,14.7410078,107.617111
302,14.7912693,108.249084
303,14.8394451,108.184227
304,14.886899,107.944138
305,14.9358587,107.713982
306,14.9849911,106.564079
307,15.03476,105.378746
308,15.0848007,104.7644
309,15.1329012,104.144051
310,15.1820059,102.840881
311,15.2305021,101.367317
312,15.2790165,100.406525
313,15.3271923,99.80155
314,15.37477,99.3556061
315,15.4227705,99.01195
316,15.4719114,98.4977341
317,15.5201387,98.02958
318,15.5687323,97.39107
319,15.6169176,96.96938
320,15.6660032,96.95805
321,15.7145805,97.05974
322,15.7633543,96.80408
323,15.8143272,96.6622
324,15.863287,96.1355
325,15.911809,96.21973
326,15.9607353,96.71721
327,16.0094185,96.8095856
328,16.0577145,96.5997238
329,16.1057987,96.54779
330,16.15586,96.48338
331,16.2047386,96.27609
332,16.2539063,96.15044
333,16.3030148,96.1775
334,16.3520184,96.13209
335,16.4007435,95.81336
336,16.45101,95.62406
337,16.499712,95.507515
338,16.5486546,95.4111252
339,16.596777,95.28258
340,16.6458416,95.23834
341,16.6938133,94.94438
342,16.74287,94.4533
343,16.7913551,93.8583755
344,16.84079,94.17149
345,16.8890667,94.61215
346,16.938797,94.83757
347,16.9886856,95.1888657
348,17.037117,95.81991
349,17.0858173,96.19034
350,17.1347542,96.46433
351,17.183815,96.7501144
352,17.2331123,97.1183548
353,17.28316,97.40405
354,17.3341961,98.073555
355,17.3829536,98.72411
356,17.4316444,99.16254
357,17.4808,99.82985
358,17.5307,100.542549
359,17.5791149,100.987762
360,17.62893,101.660454
361,17.6776333,102.226723
362,17.7270432,103.153351
363,17.775568,103.96727
364,17.8249149,104.4249
365,17.8739834,105.130516
366,17.9229641,105.933174
