,date,Amplitude
0,0.0,144.39798
1,0.0560071,144.156189
2,0.1109216,143.877014
3,0.1664518,143.662872
4,0.2218061,143.5192
5,0.2790975,143.455963
6,0.336252,143.273392
7,0.3932015,143.174942
8,0.4490476,143.057343
9,0.5056231,142.896652
10,0.5620654,142.746338
11,0.6191058,142.5659
12,0.6744414,142.5693
13,0.732213,142.454361
14,0.7882774,142.399124
15,0.844082,142.347214
16,0.9004291,142.3571
17,0.9564584,142.43959
18,1.01333165,142.373749
19,1.06939685,142.292191
20,1.12549853,142.2687
21,1.18332362,142.156952
22,1.239009,142.142151
23,1.29697335,142.143661
24,1.35410559,142.257584
25,1.40997481,142.350266
26,1.46712554,142.496918
27,1.52342868,142.666153
28,1.58079767,142.9678
29,1.63708985,143.297867
30,1.69235766,143.527054
31,1.74926424,143.780823
32,1.80391812,144.0466
33,1.86098719,144.352509
34,1.91699648,144.532425
35,1.97429967,144.872086
36,2.03133321,145.163071
37,2.0909245,145.509
38,2.14792132,145.8238
39,2.20502925,146.144318
40,2.26154852,146.42572
41,2.3180356,146.646057
42,2.3746593,146.9366
43,2.43289733,147.099182
44,2.48954248,147.321121
45,2.54626036,147.5227
46,2.60252523,147.774536
47,2.658306,147.894821
48,2.71531916,148.0733
49,2.77194166,148.13295
50,2.82951427,148.125671
51,2.88546824,148.063
52,2.94156647,148.00827
53,2.99817061,147.844818
54,3.055578,147.6285
55,3.11223459,147.3318
56,3.168884,146.972839
57,3.22569966,146.608643
58,3.28228045,146.2149
59,3.33895087,145.786942
60,3.39543462,145.426636
61,3.4521246,145.029221
62,3.5071063,144.705383
63,3.563514,144.425629
64,3.62004423,144.243622
65,3.67609167,143.984344
66,3.73179865,143.807053
67,3.787921,143.629044
68,3.844373,143.429672
69,3.90130734,143.281189
70,3.957477,143.1268
71,4.014532,143.067017
72,4.071178,142.902344
73,4.12773132,142.806473
74,4.18464041,142.67128
75,4.24339437,142.645615
76,4.29943943,142.673157
77,4.35532045,142.6568
78,4.412562,142.533646
79,4.469447,142.474121
80,4.52608252,142.327255
81,4.582331,142.263123
82,4.63910532,142.17186
83,4.69549751,142.120911
84,4.75234652,142.09903
85,4.808501,142.053558
86,4.865368,141.995346
87,4.92134333,142.113342
88,4.97783232,142.265915
89,5.033307,142.327
90,5.089318,142.4334
91,5.154695,142.392563
92,5.211241,142.5033
93,5.26867,142.627182
94,5.325547,142.846985
95,5.380606,143.024124
96,5.43746662,143.1637
97,5.49446869,143.361053
98,5.54960632,143.566833
99,5.60791445,143.8044
100,5.66504145,144.051559
101,5.722631,144.291977
102,5.78150654,144.606232
103,5.837509,144.834076
104,5.894038,145.019424
105,5.95032454,145.138153
106,6.007114,145.369156
107,6.063437,145.53418
108,6.120697,145.685867
109,6.17640972,145.850143
110,6.232277,146.005142
111,6.287959,146.11174
112,6.343593,146.180511
113,6.400465,146.158447
114,6.462077,145.9436
115,6.518621,145.809875
116,6.575358,145.558273
117,6.6314764,145.345139
118,6.689481,145.028976
119,6.74601936,144.679916
120,6.80347633,144.343674
121,6.860157,144.039566
122,6.91658,143.772552
123,6.97405672,143.531082
124,7.030464,143.308563
125,7.08681345,143.08902
126,7.14494133,142.953308
127,7.201466,142.764725
128,7.25817966,142.6102
129,7.31472874,142.418243
130,7.371506,142.339752
131,7.428172,142.2121
132,7.48497438,142.184814
133,7.54143858,142.092651
134,7.598151,142.0634
135,7.65554476,142.1189
136,7.71210957,142.114044
137,7.770413,142.030319
138,7.827082,142.052979
139,7.88353252,141.97731
140,7.939467,141.9
141,7.995335,141.784653
142,8.051944,141.70871
143,8.108047,141.686462
144,8.166245,141.689316
145,8.223341,141.698074
146,8.279712,141.738953
147,8.336509,141.871
148,8.393315,142.05307
149,8.450396,142.112839
150,8.507159,142.267044
151,8.563284,142.356918
152,8.620472,142.557388
153,8.67736,142.737717
154,8.735757,142.954483
155,8.793669,143.103622
156,8.850347,143.368927
157,8.907373,143.576935
158,8.963573,143.873322
159,9.02238,144.200348
160,9.07974148,144.441971
161,9.136501,144.672531
162,9.192446,144.937653
163,9.248368,145.224167
164,9.305321,145.4705
165,9.362424,145.685013
166,9.420546,145.908173
167,9.478097,146.085938
168,9.535627,146.312576
169,9.590941,146.504822
170,9.647481,146.684616
171,9.704668,146.868362
172,9.7613945,146.938263
173,9.818758,146.949417
174,9.875971,146.93277
175,9.932127,146.72905
176,9.989391,146.485245
177,10.0456791,146.312927
178,10.1021957,146.01416
179,10.1607265,145.673172
180,10.2174339,145.2151
181,10.280488,144.8325
182,10.3367872,144.593338
183,10.3933477,144.342621
184,10.4515829,143.975754
185,10.5084715,143.7417
186,10.5653028,143.482574
187,10.620162,143.248154
188,10.6762724,143.031784
189,10.7329884,142.895309
190,10.7895279,142.752686
191,10.8454514,142.652054
192,10.9020443,142.567673
193,10.9624062,142.448822
194,11.0190811,142.4537
195,11.0763655,142.462952
196,11.1332436,142.374344
197,11.192647,142.270874
198,11.2483358,142.157211
199,11.30449,142.064468
200,11.3623734,141.964188
201,11.4189634,141.904984
202,11.4759264,141.846954
203,11.5317173,141.842026
204,11.5899353,141.78186
205,11.645484,141.799911
206,11.7011814,141.861069
207,11.7579823,141.908463
208,11.8143988,141.829041
209,11.8704147,141.80394
210,11.92728,141.800735
211,11.9834089,141.785934
212,12.0399809,141.84404
213,12.0962954,141.972092
214,12.1517973,142.027084
215,12.2083893,142.24324
216,12.26351,142.489487
217,12.3199034,142.726837
218,12.3781757,142.967712
219,12.4349451,143.277908
220,12.4903126,143.606155
221,12.546484,143.856232
222,12.6019526,144.183853
223,12.6598883,144.491089
224,12.7172928,144.762238
225,12.7743053,145.058
226,12.83245,145.28775
227,12.8895006,145.544769
228,12.947298,145.7091
229,13.0027475,145.895111
230,13.0582619,146.067749
231,13.115346,146.255188
232,13.1722689,146.348312
233,13.2296114,146.284149
234,13.2854872,146.2052
235,13.34158,146.075043
236,13.4044657,145.817429
237,13.4614143,145.609055
238,13.5168028,145.268845
239,13.5744152,144.841415
240,13.6303406,144.447037
241,13.6874418,144.1743
242,13.7434607,143.89119
243,13.7998209,143.667282
244,13.8555222,143.38063
245,13.91038,143.2262
246,13.9703989,142.964615
247,14.0264549,142.776688
248,14.0821552,142.631073
249,14.1385984,142.562851
250,14.1978216,142.428421
251,14.2542429,142.340729
252,14.312007,142.230148
253,14.367815,142.218048
254,14.4242916,142.238235
255,14.4796085,142.285049
256,14.5360394,142.192108
257,14.591114,142.1493
258,14.6493845,142.028214
259,14.7063007,141.914429
260,14.7626963,141.841187
261,14.8195906,141.843613
262,14.877387,141.796234
263,14.9334259,141.721054
264,14.98971,141.697174
265,15.0454483,141.716568
266,15.101882,141.7371
267,15.1577768,141.954483
268,15.21356,142.035141
269,15.2702656,142.172165
270,15.326663,142.21257
271,15.3837051,142.3455
272,15.4400482,142.5623
273,15.49719,142.837341
274,15.5542231,143.12822
275,15.61046,143.396408
276,15.6655293,143.61084
277,15.7218,143.919235
278,15.7780523,144.214462
279,15.8355932,144.5283
280,15.8945684,144.807663
281,15.9504766,145.101868
282,16.0072956,145.3493
283,16.0635834,145.59259
284,16.1204376,145.882858
285,16.177433,146.147369
286,16.2364979,146.394119
287,16.2923775,146.580017
288,16.3491478,146.746857
289,16.404686,146.967941
290,16.4620934,147.1359
291,16.5190353,147.28801
292,16.5754147,147.343628
293,16.6313381,147.30127
294,16.6884556,147.152084
295,16.7442627,146.999313
296,16.8000546,146.7543
